Epoch	Natural Test Acc	FGSM Acc	PGD20 Acc	CW Acc	
1.000000	0.426400	0.187900	0.103900	0.106100	
2.000000	0.471900	0.174900	0.064800	0.080000	
3.000000	0.524100	0.189800	0.085400	0.091800	
4.000000	0.518300	0.145200	0.048100	0.056800	
5.000000	0.696600	0.217600	0.062100	0.069800	
6.000000	0.662600	0.193200	0.044000	0.055600	
7.000000	0.716000	0.232300	0.071500	0.079100	
8.000000	0.761300	0.262500	0.065300	0.077800	
9.000000	0.765100	0.292900	0.096700	0.109300	
10.000000	0.783900	0.322500	0.103400	0.116700	
11.000000	0.796700	0.276800	0.078600	0.091600	
12.000000	0.672300	0.208600	0.048700	0.060700	
13.000000	0.798000	0.307200	0.104900	0.121700	
14.000000	0.825100	0.318000	0.102300	0.111300	
15.000000	0.792000	0.293800	0.084600	0.095100	
16.000000	0.817000	0.317800	0.092600	0.107300	
17.000000	0.832900	0.344400	0.106300	0.115900	
18.000000	0.833300	0.355100	0.112500	0.123900	
19.000000	0.857600	0.355100	0.097200	0.109900	
20.000000	0.854700	0.382100	0.123600	0.137900	
21.000000	0.854300	0.380400	0.123000	0.135700	
22.000000	0.832800	0.350500	0.097500	0.109500	
23.000000	0.854200	0.356500	0.107000	0.118300	
24.000000	0.862300	0.352500	0.100400	0.111000	
25.000000	0.850400	0.359700	0.109100	0.120400	
26.000000	0.851200	0.339500	0.078700	0.090000	
27.000000	0.841500	0.349000	0.101300	0.113300	
28.000000	0.857500	0.359400	0.094000	0.103400	
29.000000	0.858900	0.390600	0.126000	0.135200	
30.000000	0.854000	0.383500	0.130300	0.143200	
31.000000	0.834400	0.340400	0.090200	0.102300	
32.000000	0.873100	0.375300	0.093900	0.102800	
33.000000	0.869600	0.360500	0.104900	0.115400	
34.000000	0.869900	0.411600	0.145900	0.162300	
35.000000	0.866100	0.384600	0.116900	0.126600	
36.000000	0.877600	0.405300	0.148000	0.159300	
37.000000	0.857100	0.367400	0.104200	0.114900	
38.000000	0.869100	0.369400	0.108300	0.117600	
39.000000	0.862600	0.405200	0.137700	0.150000	
40.000000	0.881400	0.413500	0.142900	0.153700	
41.000000	0.870100	0.373100	0.113600	0.123700	
42.000000	0.878700	0.392200	0.110900	0.119700	
43.000000	0.855600	0.400700	0.132600	0.143400	
44.000000	0.874600	0.407000	0.132600	0.143600	
45.000000	0.875300	0.414000	0.134400	0.147100	
46.000000	0.866800	0.384200	0.125200	0.134900	
47.000000	0.875400	0.421400	0.145500	0.156400	
48.000000	0.883400	0.407800	0.136400	0.149300	
49.000000	0.861500	0.370100	0.107200	0.116600	
50.000000	0.871600	0.394500	0.130700	0.139400	
51.000000	0.852600	0.515800	0.296200	0.307400	
52.000000	0.863900	0.498200	0.259700	0.271500	
53.000000	0.864600	0.525800	0.294600	0.305300	
54.000000	0.861600	0.515200	0.298700	0.307600	
55.000000	0.871100	0.506300	0.259700	0.268600	
56.000000	0.857200	0.523100	0.300600	0.311200	
57.000000	0.861700	0.514800	0.298100	0.306900	
58.000000	0.859400	0.516800	0.307500	0.315700	
59.000000	0.857300	0.514800	0.297700	0.307800	
60.000000	0.897400	0.599500	0.368300	0.375600	
61.000000	0.899400	0.601600	0.371600	0.379400	
62.000000	0.902900	0.600900	0.371900	0.379100	
63.000000	0.899800	0.605000	0.373600	0.383400	
64.000000	0.899700	0.609800	0.375800	0.383000	
65.000000	0.900500	0.606600	0.377700	0.385400	
66.000000	0.899700	0.612600	0.376300	0.386000	
67.000000	0.901100	0.609400	0.379300	0.387500	
68.000000	0.898900	0.608900	0.371600	0.379500	
69.000000	0.900600	0.609800	0.376800	0.382300	
70.000000	0.899800	0.607100	0.375100	0.382500	
71.000000	0.898900	0.605900	0.374100	0.379600	
72.000000	0.895900	0.607300	0.379600	0.386900	
73.000000	0.897400	0.608700	0.381800	0.387600	
74.000000	0.892100	0.606000	0.384100	0.391700	
75.000000	0.895900	0.608700	0.379100	0.385500	
76.000000	0.895500	0.606100	0.377100	0.385100	
77.000000	0.891900	0.605900	0.381600	0.388700	
78.000000	0.896100	0.598300	0.369200	0.375100	
79.000000	0.892300	0.609500	0.385300	0.392200	
80.000000	0.891800	0.598700	0.373400	0.381200	
81.000000	0.893400	0.604500	0.378100	0.385200	
82.000000	0.894500	0.604100	0.368700	0.375900	
